Index,Unipolar,Bipolar,LAT,Impedance,A1,A2,A2-A1,SCI,ICL,ACL,Force,Paso
    2477 ,1.55098,1.05972,77.60812,137.76862,-10000.00000,80.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.11686,-10000.00000
    2478 ,0.78352,0.28602,58.75000,129.17838,-10000.00000,105.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.24092,-10000.00000
    2479 ,1.93200,1.29900,80.00000,141.00000,-10000.00000,80.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,15.00000,-10000.00000
    2480 ,0.77541,0.68400,-74.07932,143.12341,-10000.00000,-92.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,34.91811,-10000.00000
    2481 ,1.67649,1.11787,-44.57523,132.26987,-10000.00000,-51.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,13.91690,-10000.00000
    2482 ,1.13499,0.96948,-88.72407,128.12050,-10000.00000,-84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,15.45065,-10000.00000
    2483 ,0.82122,0.93084,39.00000,135.87744,-10000.00000,87.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.71007,-10000.00000
    2484 ,0.98938,0.92663,-64.85983,135.40018,-10000.00000,-101.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.11269,-10000.00000
    2485 ,1.17716,0.49316,55.50000,125.76210,-10000.00000,110.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.43351,-10000.00000
    2486 ,1.16875,0.92125,72.83078,135.67596,-10000.00000,84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.78307,-10000.00000
    2487 ,1.49640,1.02252,77.05596,136.80411,-10000.00000,80.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,11.31832,-10000.00000
    2488 ,1.49179,0.90711,-49.92642,130.68008,-10000.00000,-43.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,14.59237,-10000.00000
    2489 ,0.19200,0.05100,-80.00000,124.00000,-10000.00000,-80.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.60000,-10000.00000
    2490 ,1.21950,0.46264,60.76537,132.48410,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.99345,-10000.00000
    2491 ,0.77542,0.64623,-67.65394,138.55698,-10000.00000,-102.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,26.78170,-10000.00000
    2492 ,1.21559,0.44360,71.28042,131.89296,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.00000,-10000.00000
    2493 ,0.89636,0.91904,-57.00000,135.73613,-10000.00000,-105.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.83755,-10000.00000
    2494 ,0.67978,0.72701,-70.25237,133.05380,-10000.00000,-107.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.63156,-10000.00000
    2495 ,0.86704,0.88514,39.00000,136.26627,-10000.00000,87.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.78841,-10000.00000
    2496 ,0.93555,0.94182,33.00000,135.17404,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.94760,-10000.00000
    2497 ,0.63707,0.19185,58.85836,131.40280,-10000.00000,82.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.47846,-10000.00000
    2498 ,0.92274,0.61533,-42.41053,135.31406,-10000.00000,-65.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.40312,-10000.00000
    2499 ,0.80296,0.29289,-59.88635,130.10593,-10000.00000,-51.50000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.50638,-10000.00000
    2500 ,1.56623,0.95760,84.17530,137.74437,-10000.00000,92.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.38218,-10000.00000
    2501 ,1.46322,0.95742,80.43239,138.72331,-10000.00000,80.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,11.44909,-10000.00000
    2502 ,1.37032,0.65048,66.36391,133.68202,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.79716,-10000.00000
    2503 ,1.46257,1.12649,64.42839,136.50206,-10000.00000,92.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.89886,-10000.00000
    2504 ,1.45984,0.86235,66.19455,136.02332,-10000.00000,92.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,11.08650,-10000.00000
    2505 ,0.92357,1.27974,-72.42764,136.28656,-10000.00000,-105.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.06204,-10000.00000
    2506 ,1.38022,0.86235,59.53065,134.52298,-10000.00000,92.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.13957,-10000.00000
    2507 ,0.92399,0.52711,70.02633,133.43930,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.21702,-10000.00000
    2508 ,0.89947,1.17715,-90.73113,135.24292,-10000.00000,-105.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.29870,-10000.00000
    2509 ,1.29900,0.40800,-83.00000,124.00000,-10000.00000,-83.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.00000,-10000.00000
    2510 ,1.57498,0.82111,-46.02251,129.85730,-10000.00000,-36.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,6.14822,-10000.00000
    2511 ,0.90004,0.88951,-67.38726,135.22485,-10000.00000,-101.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.74432,-10000.00000
    2512 ,1.98194,1.07395,-36.26357,132.47163,-10000.00000,-36.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,5.20085,-10000.00000
    2513 ,1.42796,1.48344,-83.74911,125.62907,-10000.00000,-86.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.67763,-10000.00000
    2514 ,0.85500,0.60300,79.00000,135.00000,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,11.00002,-10000.00000
    2515 ,1.38760,1.10434,-72.19462,127.64142,-10000.00000,-70.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.63594,-10000.00000
    2516 ,1.46922,0.67762,-51.96009,132.99704,-10000.00000,-66.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.33885,-10000.00000
    2517 ,0.75606,0.82917,-90.18730,131.81302,-10000.00000,-95.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.80132,-10000.00000
    2518 ,0.80222,0.46034,75.24874,133.83972,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.73344,-10000.00000
    2519 ,0.90575,0.83091,-85.05564,127.75871,-10000.00000,-84.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,12.60000,-10000.00000
    2520 ,1.79854,1.22604,-48.24664,132.21246,-10000.00000,-51.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,16.91430,-10000.00000
    2521 ,0.85500,1.00586,-91.87990,134.85873,-10000.00000,-101.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.28584,-10000.00000
    2522 ,1.44921,1.69211,-89.04597,127.83302,-10000.00000,-101.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,13.50270,-10000.00000
    2523 ,1.39845,0.63420,-4.29285,125.03955,-10000.00000,0.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,1.68366,-10000.00000
    2524 ,1.49563,1.43724,-86.99118,127.98334,-10000.00000,-79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,9.93170,-10000.00000
    2525 ,1.62900,0.84900,-34.00000,130.00000,-10000.00000,-34.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,2.00000,-10000.00000
    2526 ,0.81941,0.83437,-83.15398,131.28571,-10000.00000,-106.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,7.92854,-10000.00000
    2527 ,1.42635,0.97996,-87.65401,134.52483,-10000.00000,-89.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,14.92103,-10000.00000
    2528 ,1.10077,0.87109,-89.71646,136.99998,-10000.00000,-99.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,19.00000,-10000.00000
    2529 ,0.90093,0.52284,-73.37527,132.15163,-10000.00000,-68.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,14.88533,-10000.00000
    2530 ,0.47970,0.18780,-53.80045,126.57325,-10000.00000,-80.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.73607,-10000.00000
    2531 ,1.43400,1.10700,77.00000,133.00000,-10000.00000,77.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.00000,-10000.00000
    2532 ,0.79115,0.63386,71.15119,133.42859,-10000.00000,79.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,3.14300,-10000.00000
    2533 ,0.75000,0.86700,-92.00000,149.00000,-10000.00000,-92.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,46.00000,-10000.00000
    2534 ,0.96482,0.61360,61.62466,137.06427,-10000.00000,99.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,8.92573,-10000.00000
    2535 ,0.72300,0.51300,-102.00000,125.00000,-10000.00000,-102.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,2.00000,-10000.00000
    2536 ,0.68718,0.37059,-70.51680,131.96495,-10000.00000,-81.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,10.44982,-10000.00000
    2537 ,0.38700,0.19800,44.00000,125.00000,-10000.00000,44.00000,-10000.00000,-10000.00000,-10000.00000,-10000.00000,2.00000,-10000.00000
