Index,X,Y,Z,NormalX,NormalY,NormalZ,GroupID
      85 ,40.818,-42.715,85.730,-0.75233,-0.22193,-0.62028,0
      86 ,63.329,-17.483,101.730,0.12169,0.18030,-0.97605,0
      87 ,-1.466,-27.383,114.975,0.08353,0.94354,0.32057,0
      88 ,48.632,-36.859,83.723,0.54484,0.64740,-0.53293,0
      89 ,52.304,-44.281,77.022,0.71938,0.26352,-0.64269,0
      90 ,59.339,-25.478,100.890,-0.05437,-0.69658,-0.71541,0
      91 ,29.150,-69.316,95.185,-0.00863,-0.28095,-0.95968,0
      92 ,24.390,-81.893,114.303,0.10552,-0.98664,0.12409,0
      93 ,39.277,-59.587,90.697,-0.06054,-0.28005,-0.95808,0
      94 ,16.991,-28.993,98.503,-0.14395,0.74301,-0.65362,0
      95 ,-8.584,-62.413,114.025,-0.90580,-0.07601,0.41684,0
      96 ,-7.061,-56.507,119.452,-0.77571,-0.33584,0.53431,0
      97 ,65.622,-17.609,109.873,0.07356,0.40187,0.91274,0
      98 ,-16.120,-36.634,101.867,-0.56268,0.49068,-0.66530,0
      99 ,66.522,-16.945,105.290,0.93055,0.14519,-0.33615,0
     100 ,30.479,-55.829,91.759,-0.15888,0.01190,-0.98723,0
     101 ,-16.774,-42.282,81.544,0.37832,0.85346,-0.35844,0
     102 ,9.985,-68.662,96.704,-0.07522,-0.46947,-0.87974,0
     103 ,-18.326,-32.265,122.288,-0.50838,-0.34902,0.78724,0
     104 ,34.657,-29.499,96.414,-0.19778,0.76741,-0.60989,0
     105 ,59.819,-25.808,101.195,-0.00462,-0.66468,-0.74712,0
     106 ,-13.385,-53.580,110.106,-0.83633,-0.38701,0.38830,0
     107 ,49.454,-32.399,88.560,0.54971,0.81066,-0.20164,0
     108 ,35.028,-28.380,129.235,-0.37164,0.92808,0.02356,0
     109 ,64.305,-16.750,102.021,0.20705,0.18453,-0.96077,0
     110 ,22.099,-44.694,92.363,0.03471,0.09621,-0.99476,0
     111 ,-4.275,-68.887,113.144,-0.49940,-0.86590,-0.02858,0
     112 ,17.046,-80.506,102.968,-0.12254,-0.92166,-0.36814,0
     113 ,-20.468,-19.875,117.907,0.43160,0.84879,-0.30543,0
     114 ,-27.264,-31.890,111.930,-0.96836,-0.13105,0.21237,0
     115 ,64.048,-19.225,101.794,0.52228,0.03797,-0.85193,0
