Points_0,Points_1,Points_2,Points_Magnitude,meshID
44059.4,-26917.6,98803.6,111481,1516
47521,-36620.5,83914,103155,1522
48269.4,-36495.2,84642.4,104049,1523
48124,-36664.4,83911.5,103447,1524
48615,-37218.7,83893.9,103860,1525
46364.3,-35629.1,84030.4,102373,1526
46552.2,-34713.4,84384.8,102435,1527
47207.4,-35333.3,84930.4,103393,1528
46526.9,-34324.2,85123.8,102903,1529
46287.3,-36706.5,83591.7,102359,1530
46849.6,-36031.6,84228.8,102896,1531
47538.5,-36168.4,84601.3,103564,1532
47968.4,-34951.1,85378.2,103981,1533
48020,-35634.3,85177.1,104071,1534
40360.6,-41360.4,86644.7,104149,1543
40487.9,-42319.5,86329.4,104322,1546
41226.2,-43145.3,86040.9,104710,1547
41565.8,-42136.7,85620.6,104087,1548
59407.5,-25909.8,101461,120395,1553
59704.3,-26767,102154,121312,1554
59990.4,-27460.8,102908,122242,1555
58961,-27577.9,102142,121119,1556
60509.7,-25774,101934,121311,1557
60612.4,-28000.5,103119,122847,1558
60978.5,-27292.8,102861,122653,1559
61131.9,-26178.9,102881,122503,1560
54407.1,-18408.1,104510,119253,1583
53253.3,-18458.5,104474,118707,1584
54334.9,-18628.4,105491,120115,1585
52904,-18490.8,105471,119436,1586
53236.8,-18947.9,106120,120227,1587
58452.2,-47703.6,100355,125552,1601
58127.5,-46583.5,100300,124936,1602
58732.9,-47112.2,100638,125687,1603
58793.8,-46491.6,101179,125918,1604
58271.1,-45804.3,100949,125237,1605
57932.6,-23973.9,100060,118080,1737
58533.5,-24462.5,100890,119178,1738
57533,-24563.9,100714,118561,1739
57437.8,-24946.9,101417,119193,1740
58980.5,-25575.3,100847,119595,1741
59501.4,-24319.9,100506,119304,1742
59787.1,-25269.3,100540,119672,1743
60600.3,-24483.3,100536,119914,1744
59000.5,-23313.8,100510,118856,1745
52430.9,-34465,103121,120709,1867
51358.9,-33905,102316,119398,1868
52038.2,-33170.6,103385,120402,1869
50547.5,-33759.4,101290,118129,1870
51121.2,-35213.5,101481,118961,1871
51910.3,-34841.8,102229,119831,1872
50367.1,-34903.8,100373,117600,1873
51041.5,-35657.4,100563,118278,1874
51747.7,-36336.7,101463,119553,1875
51330,-36458.7,100543,118629,1876
50740.5,-36413.5,99789,117722,1877
52726,-36627.5,101797,120350,1878
52760,-37177.5,101080,119929,1879
52173.6,-37480,100343,119145,1880
49402.4,-34884.1,99735.2,116639,1881
50217.3,-35836.1,99609.4,117167,1882
50713.7,-35535.9,100063,117674,1883
53238.9,-46274.3,82967.5,108900,1910
54138.4,-45941.6,81984.1,108457,1911
54525.5,-45456.3,82616.2,108925,1912
53258.7,-46189.3,78130.3,105234,1928
52951.2,-45296.6,78065.8,104642,1929
53431.7,-45689.9,79067.6,105803,1930
60769.3,-43621.1,106182,129886,1964
60880.2,-44643.1,105790,129965,1965
60754.1,-44047.8,105381,129369,1966
60051.6,-43274.3,105005,128471,1967
60340.1,-44109.3,104796,128720,1968
60555.1,-45132.1,105126,129442,1969
47209,-32663.9,95422.8,111360,2057
46928.5,-31718.7,96183.6,111623,2058
47466.1,-32396,96600.7,112402,2059
46770.8,-31274.9,97183.5,112295,2060
47485.8,-31551,98023.3,113397,2061
47764.9,-32498.6,98108.4,113855,2062
47543.7,-31949.3,97467.9,113054,2063
46915.6,-30822.2,98241,113148,2064
46487.1,-30505.5,97068.5,111866,2065
65974.8,-15526,106054,125862,2066
65696.7,-15276.2,105256,125013,2067
64988.1,-15246.1,105489,124835,2068
65399,-14869.5,104482,124156,2069
58847,-16666.2,107123,123353,2152
58696.9,-17642.3,108072,124242,2153
59211,-16952.8,107836,124185,2154
59772,-17575.2,108331,124969,2155
66153,-20406.5,109181,129279,2337
65188.6,-20743.8,109443,129064,2338
52035.7,-38723.8,89130.2,110234,2352
51592.9,-37516,89157.4,109628,2353
52297.2,-38477.4,90214.7,111149,2354
51239.3,-37847.3,87207.6,107996,2355
51789.5,-38414.5,87486.8,108682,2356
51598.5,-38216.9,88313.1,109189,2357
51091.1,-37004.9,87965.5,108248,2358
51386.6,-36656.3,88731.2,108892,2359
54493.2,-45157,83336.2,109332,2360
54252.4,-44711.6,82103.6,108090,2361
53897,-45566.6,81033.7,107460,2373
54028,-44587.7,80742.8,106895,2374
58964.2,-37880.4,104292,125652,2397
59177.6,-38272,105488,126864,2398
58760.8,-37245.1,104603,125626,2399
39041.7,-36881.1,87375.3,102562,2469
38763,-37040.4,88105.1,103136,2470
39295.8,-37650.7,87295.6,102870,2471
41078.9,-36288.7,86253.3,102196,2472
40594.3,-37388.8,86398,102520,2473
39851.9,-37523,86768.7,102591,2474
40134.1,-38324.7,86638,102887,2475
51281.6,-44936.6,76409.1,102408,2507
50623.1,-45632.7,77373.4,103110,2508
50390.1,-44796.3,76792.6,102191,2509
50777.1,-44322.7,76439.5,101911,2510
50328.4,-43779.4,76393.8,101418,2511
48663.7,-45587.9,77399.9,102162,2512
49389.3,-45022,77167.2,102084,2513
49210.3,-46281.8,77284.3,102648,2514
49472.5,-44046.6,76698.9,101343,2515
48047.4,-44430.7,77417.6,101371,2516
48578,-44240.6,76577,100901,2517
46188.6,-32081.7,90866.6,106861,2543
45115,-32475.5,90972,106611,2544
45692.1,-32324.3,90100.1,106069,2545
52855.6,-46063.4,87469,112100,2588
52067.6,-45417.1,88235,112068,2589
52504.7,-46455.9,88146.6,112626,2590
52728,-44555.3,87329.7,111319,2591
52459.8,-44366.7,88108.8,111730,2592
52212.9,-44299.3,88699.4,112054,2593
52628.3,-45402.9,87448.9,111707,2594
62047.8,-23098.4,100578,120413,2673
61227.5,-23501.8,99968.7,119561,2674
61057.2,-25339.1,101524,121149,2708
60222.2,-25187.4,101238,120459,2709
42077.7,-44688.9,85687.6,105404,2899
42437.4,-43540.5,85052.5,104550,2949
41722.3,-43868.7,85591,104838,2950
41776.5,-42917.5,85507.2,104397,2951
50988.3,-34733.9,90093.6,109193,2975
56315.6,-20116.8,108933,124268,3012
57391.2,-20753.9,109752,125579,3013
57667.9,-20060.6,108933,124878,3014
57042.7,-19485.7,108347,123986,3015
55998.5,-19375.8,107887,123089,3016
58054.3,-18647.9,108727,124658,3017
39859.7,-40250.7,86538,103430,3066
40973.3,-40979.6,85580.9,103355,3067
40455.8,-40368.6,86052,103302,3068
40767,-39109.2,85855.4,102775,3069
40177.4,-39760.8,86050.9,102956,3070
41745.1,-41440.4,85002.9,103370,3071
41396.4,-40863.6,84787.6,102822,3072
41602.9,-40058.4,84837.4,102630,3073
40848.9,-40119.5,85384.5,102804,3074
65290.8,-23066.9,104993,125772,3108
65611,-21870.8,105007,125736,3109
65895.4,-22642.7,105693,126593,3110
66111.1,-21761.1,106032,126835,3111
66438.2,-22310.5,106819,127758,3112
66073,-20827.6,105389,126120,3113
51680.7,-35709.3,91976.2,111381,3126
52080.1,-36289.4,92928.7,112539,3127
52126,-36629.1,91690.8,111651,3128
51971.9,-37243,90194.5,110558,3129
52832.1,-38109.8,90990.6,111906,3130
52783.6,-37377,91480.3,112035,3131
51844.5,-35775.1,91270.9,110897,3132
52095.6,-36208.2,90888.2,110841,3133
51378.9,-35730.1,90474.8,110010,3134
52429,-37043.6,92569.7,112651,3135
52900.7,-37651.3,92575,113076,3136
52851.7,-37371.7,93416.4,113651,3137
52350.4,-36742.4,93640.9,113398,3138
46118.6,-19450.5,104609,115967,3165
46813.3,-19288.1,103797,115487,3166
45739.9,-19963.6,103628,115019,3167
66291.6,-16112.5,107130,127008,3250
65787.1,-15495.5,107668,127124,3251
65375.9,-16084.2,108065,127321,3252
65058.6,-15312.4,107551,126627,3253
66565.9,-16437.5,105729,126015,3254
65932.6,-17002.7,104509,124733,3255
66193.4,-16208.6,104873,125070,3256
65583.1,-16235.8,104105,124107,3257
65491.7,-15590.3,103234,123246,3258
65097.5,-16548.8,103232,123160,3259
65596.2,-17669.3,103108,123476,3260
65645.7,-17579.5,103959,124201,3261
54028.5,-23395.2,112294,126793,3287
54270.1,-22831.6,111647,126220,3288
53420.7,-22772.9,112082,126233,3289
52750.4,-22859.7,111946,125845,3293
52003.2,-43593.1,91096,113592,3368
52192.2,-44060.4,90090.9,113056,3369
52236.1,-43389.2,90401.1,113065,3370
52207.5,-43221.3,89814.9,112519,3371
51886.9,-44568.1,90553.8,113484,3372
64916,-23535,105711,126265,3380
64801.7,-23685.5,104503,125224,3381
56454.9,-24928.9,101512,118799,3382
56584.1,-25897.6,101880,119382,3383
55642.1,-25319.8,101981,118900,3388
55927.8,-26345.8,102413,119626,3389
54811.8,-26273.7,102583,119239,3390
56519.1,-27089.7,102579,120211,3391
53375.7,-44998.6,78993.1,105422,3393
53920.2,-45171.5,79845.2,106410,3394
53079.8,-44291.1,78890,104894,3395
53505.6,-44048.5,79925.1,105788,3396
53354.7,-43688,80658.4,106119,3397
52677.9,-43269.9,79923,105047,3398
52181.8,-42954.5,79098.2,104041,3399
52802.7,-43633,79120.2,104652,3400
54168.1,-44389.5,83399.4,108904,3416
54189.9,-44545.4,84402.8,109748,3417
53674.9,-43987.5,83909.3,108888,3418
59691.7,-42076.5,104153,127206,3443
59214.4,-42705.3,103589,126731,3444
47060.6,-45938.5,81389.7,104639,3466
46123.3,-45325,81473.4,104017,3467
46612,-45289.3,80504.5,103464,3468
47455.2,-45568.7,80601.8,104044,3469
47837.6,-46571.3,81342.1,105232,3470
54935.4,-23643,111572,126591,3471
56003.6,-23299.6,111474,126908,3472
55498.2,-22415.2,110998,126107,3473
56554,-22427.1,111311,126852,3474
57591.6,-22918.5,111395,127479,3475
57126.4,-23762,111621,127622,3476
56342.9,-24088.9,111532,127256,3477
56729,-24820.9,111846,127843,3478
43899.8,-33009.2,88070.6,103794,3507
43190.6,-33017.3,88649.1,103992,3508
43928.7,-33013.1,89431.1,104964,3509
42785.9,-32694.7,89416.2,104378,3510
53293.1,-38024.9,95497.5,115784,3537
52460.2,-37910.4,95709.2,115540,3538
52887.3,-38459.4,96048.8,116196,3539
51853.4,-38297.3,96661,116184,3540
51744.8,-37497.1,95651.8,115034,3541
60234.3,-23240.2,99993.9,119025,3597
53371.1,-46726.9,94968.4,118536,3598
53305,-47433.9,94340.6,118286,3599
52830.8,-46731.7,93905.6,117444,3600
53555.7,-48010.4,95106.8,119241,3601
54279.4,-48359.8,95868.8,120315,3602
53779.7,-49056.2,95720.1,120254,3603
54104.6,-47367,96314.3,120197,3604
53795.9,-47083.1,95583.2,119361,3605
53307.2,-48223.4,93944.6,118291,3606
53142.3,-49178.5,93802.7,118497,3607
53628.3,-48905.8,94785.2,119382,3608
48812.9,-46668.1,79538.9,104341,3611
48240.5,-45743.1,79715.5,103799,3612
48688.9,-46041.2,78437,103164,3613
43718.6,-34663.7,85701.7,102263,3631
43512.7,-34152.1,86343,102542,3632
44468,-34130.8,86588.1,103149,3633
43677.9,-33889.5,87256.2,103295,3634
42938.5,-34490.9,86525.8,102567,3635
43005.5,-35098.5,85719.3,102123,3636
55580.8,-38163.6,100528,121044,3718
55577.5,-39250.8,100133,121062,3719
55094.6,-38603.8,99490.1,120100,3720
57574.6,-40336.5,102768,124512,3721
57060.7,-40136.3,101596,123242,3722
57034.4,-39606.3,102351,123682,3723
56914.3,-38481.9,102876,123708,3724
56302.4,-39382.6,101445,122524,3725
56584.5,-36364.4,103314,123280,3726
56810.2,-37282.9,102945,123349,3727
56216,-37012,102434,122568,3728
55778.6,-37538.8,101736,121945,3729
56475.1,-37895.5,102045,122632,3730
55773.5,-38516.6,101488,122041,3731
47077.2,-50784.6,87275.1,111410,3831
45577.8,-49129.5,85992.5,109022,3834
46494.4,-49685.4,86806.2,110298,3835
48278,-50451.4,86592.1,111240,3836
60030.4,-27830.5,108951,127470,3896
60682.8,-27625.9,108243,127130,3897
60759.3,-26671.1,108742,127389,3898
60866.6,-27194.9,107506,126498,3899
62182,-25279.4,107827,127013,3900
62471.8,-25402.6,107025,126500,3901
61834.2,-26359.9,107177,126512,3902
61528.2,-25963.9,108006,126985,3903
61505.8,-26740.2,108035,127160,3904
56726,-22946,100590,117740,3905
56813.7,-21855.9,101175,118076,3906
57933.6,-22322.1,100757,118349,3907
55998.2,-21934.3,100968,117522,3908
55691,-21171.6,101529,117719,3909
54973,-22383.4,101027,117173,3910
55063.9,-21541.9,101002,117036,3911
55799.1,-22827.2,101029,117650,3912
58284.8,-48486.7,100440,125842,3916
44657.7,-32895.4,88713.3,104625,3961
51497.1,-41534.7,80592.7,104270,4004
52286.7,-42235,81043.6,105289,4005
51911.2,-42255.7,79810.5,104163,4006
51622.5,-41785.8,81858.7,105412,4007
52410.5,-18944.6,106430,120138,4052
47071.8,-40149.1,79942.3,101086,4055
47962.2,-39675.6,80159,101489,4056
46316.1,-40084.8,79564.4,100411,4057
47136.2,-39414.8,81093.3,101742,4058
49291.8,-39883.6,79940.5,102034,4059
48729.2,-39488.6,80935.5,102394,4060
45984.6,-39686.9,80178.8,100590,4061
45884.8,-39111.7,80898.7,100895,4062
47026,-47062.5,82428.6,105928,4063
46519,-47310,83026.4,106281,4064
46181,-46436.3,82673.8,105470,4065
45298.6,-46463.5,83222.2,105531,4066
45831.8,-47563.3,83590.4,106537,4067
48397.5,-40653.1,77984.7,100382,4070
52724.2,-21135.5,109460,123321,4099
53257.3,-20818.9,108702,122825,4100
52547,-20383.8,108702,122445,4101
52861.7,-20009.7,108315,122176,4102
54347.9,-20417,108760,123285,4103
53347,-20183.6,107709,121879,4104
54427.8,-19878,107926,122497,4105
54891.7,-19119.8,106825,121615,4106
53999.3,-18519,106325,120681,4107
53918.3,-19490.8,106824,121237,4108
55316.3,-20265,108674,123615,4109
65896.1,-23260.1,107487,128206,4156
65429,-23171.7,108692,128964,4157
66131.5,-23258.9,108313,129020,4158
56493.7,-25280.1,112522,128420,4168
55672.3,-25909.2,113113,128706,4169
56281.6,-26207.5,112707,128675,4170
59257.2,-47003,101437,126531,4189
59150.2,-47702.4,101557,126839,4190
58985.3,-47609.7,100757,126087,4191
59422.4,-45220.4,102689,126968,4194
58731,-44172.8,102437,126071,4195
59637.3,-43812.6,103202,126991,4196
58736.2,-43385.1,103001,126259,4197
59691.5,-43544.1,104086,127644,4198
59984.4,-41491.7,104706,127605,4238
48929.4,-35339.7,85711.6,104831,4267
58433.7,-27110.4,110806,128170,4332
59107.5,-25918.9,110153,127668,4333
58336.8,-25841.2,111162,128172,4334
59148.6,-25707,110995,128372,4335
59084.7,-24996.4,110812,128043,4336
54095.9,-27517.5,103072,119614,4337
53787.5,-26301.2,102584,118778,4338
